created_at,updated_at,user_id,badge_id
2020-02-14 04:37:24,2020-02-14 04:37:24,13991889,279121-serial-actor-voter-10-bd
2018-11-15 09:45:55,2018-11-15 09:45:55,13991889,279121-serial-actor-voter-3-bd
2020-02-14 04:37:24,2020-02-14 04:37:24,13991889,279121-serial-actor-voter-5-bd
2018-11-15 09:45:57,2018-11-15 09:45:57,13991889,279121-serial-emotioner-3-bd
2021-07-06 18:52:54,2021-07-06 18:52:54,13991889,279831-marathoner-3-within-24-bd
2020-07-27 06:51:03,2020-07-27 06:51:03,13991889,280329-serial-actor-voter-3-bd
2020-05-14 03:03:27,2020-05-14 03:03:27,13991889,281249-marathoner-3-within-24-bd
2019-07-08 19:21:33,2019-07-08 19:21:33,13991889,281470-marathoner-3-within-24-bd
2019-07-09 04:19:41,2019-07-09 04:19:41,13991889,281470-marathoner-5-within-24-bd
2019-07-07 10:54:19,2019-07-07 10:54:19,13991889,281470-serial-actor-voter-3-bd
2019-07-07 10:54:19,2019-07-07 10:54:19,13991889,281470-serial-actor-voter-5-bd
2019-07-17 05:48:37,2019-07-17 05:48:37,13991889,282994-marathoner-3-within-24-bd
2019-10-01 03:40:05,2019-10-01 03:40:05,13991889,282994-serial-actor-voter-3-bd
2019-10-04 19:26:24,2019-10-04 19:26:24,13991889,282994-serial-actor-voter-5-bd
2020-04-09 06:06:03,2020-04-09 06:06:03,13991889,284131-marathoner-3-within-24-bd
2020-04-09 07:58:02,2020-04-09 07:58:02,13991889,284131-marathoner-5-within-24-bd
2018-01-04 18:48:51,2018-01-04 18:48:51,13991889,289590-marathoner-3-within-24-bd
2019-10-30 02:58:38,2019-10-30 02:58:38,13991889,289590-serial-actor-voter-3-bd
2018-01-10 17:38:42,2018-01-10 17:38:42,13991889,293194-marathoner-3-within-24-bd
2018-01-11 06:01:11,2018-01-11 06:01:11,13991889,293194-marathoner-5-within-24-bd
2018-03-24 16:03:50,2018-03-24 16:03:50,13991889,295068-marathoner-3-within-24-bd
2018-05-17 21:17:15,2018-05-17 21:17:15,13991889,295068-marathoner-5-within-24-bd
2018-05-17 00:44:48,2018-05-17 00:44:48,13991889,295068-serial-actor-voter-3-bd
2018-05-17 00:45:00,2018-05-17 00:45:00,13991889,295068-serial-emotioner-3-bd
2019-08-01 04:18:18,2019-08-01 04:18:18,13991889,295743-marathoner-3-within-24-bd
2020-05-07 15:30:34,2020-05-07 15:30:34,13991889,295760-quick-watcher-3-bd
2020-06-25 06:50:46,2020-06-25 06:50:46,13991889,305074-marathoner-3-within-24-bd
2021-08-28 22:10:30,2021-08-28 22:10:30,13991889,305074-quick-watcher-10-bd
2022-10-01 15:41:48,2022-10-01 15:41:48,13991889,305074-quick-watcher-15-bd
2023-01-22 10:30:26,2023-01-22 10:30:26,13991889,305074-quick-watcher-3-bd
2021-07-17 15:38:02,2021-07-17 15:38:02,13991889,305074-quick-watcher-5-bd
2019-07-10 20:35:28,2019-07-10 20:35:28,13991889,305288-marathoner-3-within-24-bd
2018-01-12 06:55:19,2018-01-12 06:55:19,13991889,305378-marathoner-3-within-24-bd
2017-12-13 07:38:38,2017-12-13 07:38:38,13991889,308772-marathoner-3-within-24-bd
2018-11-26 03:32:56,2018-11-26 03:32:56,13991889,319127-marathoner-3-within-24-bd
2018-03-31 04:25:42,2018-03-31 04:25:42,13991889,320450-marathoner-3-within-24-bd
2018-03-31 21:39:09,2018-03-31 21:39:09,13991889,320450-marathoner-5-within-24-bd
2018-06-07 20:19:34,2018-06-07 20:19:34,13991889,323168-marathoner-3-within-24-bd
2017-12-11 18:04:25,2017-12-11 18:04:25,13991889,327359-marathoner-3-within-24-bd
2018-04-07 04:49:23,2018-04-07 04:49:23,13991889,327417-marathoner-3-within-24-bd
2019-07-22 01:53:53,2019-07-22 01:53:53,13991889,327417-marathoner-5-within-24-bd
2019-07-19 21:05:14,2019-07-19 21:05:14,13991889,327417-quick-watcher-3-bd
2019-07-21 20:10:14,2019-07-21 20:10:14,13991889,327417-quick-watcher-5-bd
2018-07-17 19:15:07,2018-07-17 19:15:07,13991889,328361-marathoner-3-within-24-bd
2018-07-17 02:17:25,2018-07-17 02:17:25,13991889,328361-serial-actor-voter-3-bd
2018-08-19 17:33:16,2018-08-19 17:33:16,13991889,328599-serial-actor-voter-3-bd
2018-09-09 23:45:33,2018-09-09 23:45:33,13991889,328599-serial-actor-voter-5-bd
2018-09-14 19:59:51,2018-09-14 19:59:51,13991889,328599-serial-emotioner-10-bd
2018-08-19 17:33:14,2018-08-19 17:33:14,13991889,328599-serial-emotioner-3-bd
2018-09-09 23:45:30,2018-09-09 23:45:30,13991889,328599-serial-emotioner-5-bd
2020-02-04 05:06:29,2020-02-04 05:06:29,13991889,328690-marathoner-3-within-24-bd
2018-01-22 04:04:33,2018-01-22 04:04:33,13991889,328724-marathoner-3-within-24-bd
2018-01-22 06:40:12,2018-01-22 06:40:12,13991889,328724-marathoner-5-within-24-bd
2019-11-08 05:29:15,2019-11-08 05:29:15,13991889,330374-marathoner-3-within-24-bd
2019-11-08 06:39:42,2019-11-08 06:39:43,13991889,330374-serial-actor-voter-10-bd
2019-11-07 06:17:00,2019-11-07 06:17:00,13991889,330374-serial-actor-voter-3-bd
2019-11-07 07:03:44,2019-11-07 07:03:44,13991889,330374-serial-actor-voter-5-bd
2018-02-28 05:49:25,2018-02-28 05:49:25,13991889,332331-marathoner-3-within-24-bd
2018-07-29 04:41:59,2018-07-29 04:41:59,13991889,332353-marathoner-3-within-24-bd
2018-07-29 04:42:06,2018-07-29 04:42:06,13991889,332353-serial-actor-voter-10-bd
2018-07-29 01:02:04,2018-07-29 01:02:04,13991889,332353-serial-actor-voter-3-bd
2018-07-29 01:02:11,2018-07-29 01:02:11,13991889,332353-serial-actor-voter-5-bd
2018-07-29 04:42:04,2018-07-29 04:42:04,13991889,332353-serial-emotioner-10-bd
2018-07-29 01:01:53,2018-07-29 01:01:53,13991889,332353-serial-emotioner-3-bd
