season_number,episode_number,vote_key,episode_id,user_id,series_name
3,5,7416272-13991889-19,7416272,13991889,Atypical
3,5,7416272-13991889-13,7416272,13991889,Atypical
3,5,7416272-13991889-18,7416272,13991889,Atypical
3,5,7416272-13991889-28,7416272,13991889,Atypical
3,6,7416273-13991889-30,7416273,13991889,Atypical
3,6,7416273-13991889-15,7416273,13991889,Atypical
3,6,7416273-13991889-13,7416273,13991889,Atypical
3,7,7416274-13991889-15,7416274,13991889,Atypical
3,7,7416274-13991889-30,7416274,13991889,Atypical
3,7,7416274-13991889-38,7416274,13991889,Atypical
3,7,7416274-13991889-14,7416274,13991889,Atypical
3,7,7416274-13991889-18,7416274,13991889,Atypical
3,7,7416274-13991889-28,7416274,13991889,Atypical
3,8,7416275-13991889-15,7416275,13991889,Atypical
3,8,7416275-13991889-28,7416275,13991889,Atypical
3,8,7416275-13991889-30,7416275,13991889,Atypical
3,8,7416275-13991889-18,7416275,13991889,Atypical
3,9,7416276-13991889-38,7416276,13991889,Atypical
3,9,7416276-13991889-30,7416276,13991889,Atypical
3,9,7416276-13991889-28,7416276,13991889,Atypical
3,9,7416276-13991889-15,7416276,13991889,Atypical
3,9,7416276-13991889-19,7416276,13991889,Atypical
3,9,7416276-13991889-18,7416276,13991889,Atypical
3,9,7416276-13991889-27,7416276,13991889,Atypical
3,9,7416276-13991889-29,7416276,13991889,Atypical
3,9,7416276-13991889-14,7416276,13991889,Atypical
3,10,7416277-13991889-28,7416277,13991889,Atypical
3,10,7416277-13991889-18,7416277,13991889,Atypical
3,10,7416277-13991889-13,7416277,13991889,Atypical
3,10,7416277-13991889-19,7416277,13991889,Atypical
1,1,7428555-13991889-14,7428555,13991889,The Witcher
1,1,7428555-13991889-38,7428555,13991889,The Witcher
1,1,7428555-13991889-28,7428555,13991889,The Witcher
1,1,7428555-13991889-18,7428555,13991889,The Witcher
5,9,7430115-13991889-28,7430115,13991889,Supergirl
5,9,7430115-13991889-19,7430115,13991889,Supergirl
5,9,7430115-13991889-13,7430115,13991889,Supergirl
5,9,7430115-13991889-18,7430115,13991889,Supergirl
6,8,7437752-13991889-28,7437752,13991889,The Flash (2014)
6,8,7437752-13991889-18,7437752,13991889,The Flash (2014)
6,9,7437754-13991889-13,7437754,13991889,The Flash (2014)
6,9,7437754-13991889-28,7437754,13991889,The Flash (2014)
6,9,7437754-13991889-18,7437754,13991889,The Flash (2014)
6,9,7437754-13991889-19,7437754,13991889,The Flash (2014)
6,10,7477619-13991889-13,7477619,13991889,The Flash (2014)
6,10,7477619-13991889-19,7477619,13991889,The Flash (2014)
6,11,7477620-13991889-20,7477620,13991889,The Flash (2014)
6,11,7477620-13991889-35,7477620,13991889,The Flash (2014)
1,8,7501874-13991889-28,7501874,13991889,Mythic Quest
1,10,7521793-13991889-19,7521793,13991889,Batwoman
1,10,7521793-13991889-28,7521793,13991889,Batwoman
1,10,7521793-13991889-18,7521793,13991889,Batwoman
1,11,7534233-13991889-28,7534233,13991889,Batwoman
1,11,7534233-13991889-18,7534233,13991889,Batwoman
1,11,7534233-13991889-19,7534233,13991889,Batwoman
1,1,7550552-13991889-19,7550552,13991889,I Am Not Okay With This
1,2,7550553-13991889-19,7550553,13991889,I Am Not Okay With This
1,2,7550553-13991889-18,7550553,13991889,I Am Not Okay With This
1,2,7550553-13991889-28,7550553,13991889,I Am Not Okay With This
1,3,7550554-13991889-28,7550554,13991889,I Am Not Okay With This
1,3,7550554-13991889-18,7550554,13991889,I Am Not Okay With This
1,4,7550557-13991889-19,7550557,13991889,I Am Not Okay With This
1,5,7550559-13991889-18,7550559,13991889,I Am Not Okay With This
1,5,7550559-13991889-28,7550559,13991889,I Am Not Okay With This
