user_id,episode_id,uuid,vote_key,series_name,season_number,episode_number
13991889,4921349,43f2be08-5475-4968-82c3-6220f7af3b09,4921349-13991889-18,Akame ga Kill!,1,17
13991889,4921349,43f2be08-5475-4968-82c3-6220f7af3b09,4921349-13991889-28,Akame ga Kill!,1,17
13991889,4921349,43f2be08-5475-4968-82c3-6220f7af3b09,4921349-13991889-30,Akame ga Kill!,1,17
13991889,4921349,43f2be08-5475-4968-82c3-6220f7af3b09,4921349-13991889-15,Akame ga Kill!,1,17
13991889,4942078,86e4f05e-4648-469c-9d19-0f10b1c4fe58,4942078-13991889-19,The Seven Deadly Sins,1,1
13991889,4942078,86e4f05e-4648-469c-9d19-0f10b1c4fe58,4942078-13991889-18,The Seven Deadly Sins,1,1
13991889,4942078,86e4f05e-4648-469c-9d19-0f10b1c4fe58,4942078-13991889-28,The Seven Deadly Sins,1,1
13991889,5560087,7afba4d2-6a61-4610-93ef-088671fce8bd,5560087-13991889-24,iZombie,2,19
13991889,5682080,9df1a09d-9bcc-4b5b-93cd-77a935a29539,5682080-13991889-28,Travelers (2016),1,1
13991889,5700822,170d8965-618c-4054-a2f3-6b39241a3ea2,5700822-13991889-24,iZombie,3,2
13991889,5700822,170d8965-618c-4054-a2f3-6b39241a3ea2,5700822-13991889-28,iZombie,3,2
13991889,5763872,cb48ca72-43d1-4bdb-aa80-56dd7f04a43a,5763872-13991889-13,iZombie,3,3
13991889,5763873,e26a9c5c-4c7b-4f70-ab56-815915804cd7,5763873-13991889-24,iZombie,3,4
13991889,5763874,da4b655a-e4de-48d8-9b0c-5c168e86c50e,5763874-13991889-15,iZombie,3,5
13991889,6304546,31ca2e0f-9833-4530-85c3-43823e9ab910,6304546-13991889-28,The Alienist,1,1
13991889,6304546,31ca2e0f-9833-4530-85c3-43823e9ab910,6304546-13991889-18,The Alienist,1,1
13991889,6379885,e6b23f8b-6447-41fc-9487-2906a5ff3683,6379885-13991889-18,The End of the F***ing World,1,8
