timezone,updated_at,user_id,zip_code,latitude,city_name,created_at,ip_address,longitude,hits,country_code,country_name,region_name
-03:00,2023-02-04 02:51:17,13991889,5000,-31.39,Córdoba,2023-01-24 20:22:42,186.12.184.100,-64.18,11,AR,Argentina,Cordoba
-03:00,2023-03-20 21:28:56,13991889,5000,-31.43,Córdoba,2023-02-19 14:56:33,186.12.184.108,-64.18,23,AR,Argentina,Cordoba
-03:00,2022-02-14 09:40:00,13991889,5000,-31.39,Córdoba,2021-10-14 00:32:56,186.12.184.114,-64.18,76,AR,Argentina,Cordoba
-03:00,2022-12-18 17:18:58,13991889,5000,-31.39,Córdoba,2022-09-07 20:41:10,186.12.184.124,-64.18,34,AR,Argentina,Cordoba
-03:00,2022-06-20 06:15:32,13991889,5000,-31.39,Córdoba,2022-01-04 03:38:16,186.12.184.18,-64.18,83,AR,Argentina,Cordoba
-03:00,2022-11-03 03:50:35,13991889,5000,-31.39,Córdoba,2022-09-24 22:31:13,186.12.184.28,-64.18,30,AR,Argentina,Cordoba
-03:00,2021-12-22 18:14:56,13991889,5000,-31.39,Córdoba,2021-10-06 16:30:01,186.12.184.42,-64.18,24,AR,Argentina,Cordoba
,2024-07-16 22:16:50,13991889,,,,2024-07-16 22:16:50,186.12.184.51,,1,,,
-03:00,2022-09-04 03:53:29,13991889,5000,-31.39,Córdoba,2022-06-23 03:27:40,186.12.184.52,-64.18,96,AR,Argentina,Cordoba
-03:00,2023-03-20 22:16:54,13991889,5000,-31.39,Córdoba,2023-03-03 01:32:36,186.12.184.60,-64.18,12,AR,Argentina,Cordoba
-03:00,2022-04-17 09:45:52,13991889,5000,-31.39,Córdoba,2021-10-26 22:34:55,186.12.184.66,-64.18,42,AR,Argentina,Cordoba
-03:00,2023-01-22 19:10:52,13991889,5000,-31.39,Córdoba,2022-12-26 00:50:10,186.12.184.76,-64.18,22,AR,Argentina,Cordoba
-03:00,2023-02-18 17:06:28,13991889,5000,-31.43,Córdoba,2023-02-04 14:19:20,186.12.184.84,-64.18,18,AR,Argentina,Cordoba
-03:00,2022-02-25 22:36:51,13991889,5000,-31.39,Córdoba,2021-10-19 15:40:18,186.12.184.90,-64.18,30,AR,Argentina,Cordoba
,2019-03-06 01:54:08,13991889,,,,2019-03-06 01:54:08,186.12.72.251,,1,,,
,2019-03-02 16:15:00,13991889,,,,2019-03-02 16:15:00,186.12.76.231,,1,,,
,2020-01-18 23:18:05,13991889,,,,2020-01-18 23:18:05,186.12.78.16,,1,,,
,2023-01-04 02:37:22,13991889,,,,2023-01-04 02:37:22,186.12.80.242,,1,,,
,2019-10-12 19:33:02,13991889,,,,2019-10-12 19:33:02,186.12.81.10,,1,,,
,2019-02-23 15:30:49,13991889,,,,2019-02-23 15:30:49,186.12.81.3,,1,,,
,2021-07-24 17:43:21,13991889,,,,2021-07-24 17:43:21,186.12.85.188,,1,,,
,2019-04-16 19:39:35,13991889,,,,2019-04-16 19:39:35,186.12.85.67,,1,,,
,2019-05-08 02:46:18,13991889,,,,2019-05-08 02:46:18,186.12.88.199,,1,,,
,2019-03-16 15:47:36,13991889,,,,2019-03-16 15:47:36,186.12.88.207,,1,,,
,2020-02-08 21:08:15,13991889,,,,2020-02-08 21:08:15,186.12.90.50,,1,,,
,2019-03-15 20:04:50,13991889,,,,2019-03-15 20:04:50,186.12.92.175,,1,,,
,2024-02-29 14:40:36,13991889,,,,2024-02-29 14:40:36,186.12.92.202,,1,,,
,2023-06-14 13:58:03,13991889,,,,2023-06-14 13:58:03,186.12.92.215,,1,,,
,2023-04-11 23:01:45,13991889,,,,2023-04-11 23:01:45,186.12.92.245,,1,,,
,2023-02-26 01:06:47,13991889,,,,2023-02-26 01:00:24,186.12.92.73,,4,,,
,2023-04-16 22:10:10,13991889,,,,2023-04-16 22:10:10,186.12.93.178,,1,,,
,2022-12-09 02:34:45,13991889,,,,2022-12-09 02:34:45,186.12.93.248,,1,,,
,2019-10-08 14:35:10,13991889,,,,2019-10-08 14:33:30,186.12.93.40,,2,,,
,2019-11-18 21:00:06,13991889,,,,2019-11-18 21:00:06,186.12.96.28,,1,,,
,2019-09-22 15:57:01,13991889,,,,2019-09-22 15:57:01,186.12.96.86,,1,,,
