name,value,created_at,updated_at,id,device_id
build_manufacturer,samsung,2017-07-31 04:00:21,2017-07-31 04:00:21,16247721,9033d7d9fc68cda89dedb37e62867888
build_model,GT-I9500,2017-07-31 04:00:21,2017-07-31 04:00:21,16247723,9033d7d9fc68cda89dedb37e62867888
launcher,ch.deletescape.lawnchair,2017-07-31 04:00:21,2017-08-12 23:07:45,16247728,9033d7d9fc68cda89dedb37e62867888
model,Galaxy S4,2017-07-31 04:00:21,2017-07-31 04:00:21,16247720,9033d7d9fc68cda89dedb37e62867888
os,android,2017-07-31 04:00:21,2017-07-31 04:00:21,16247724,9033d7d9fc68cda89dedb37e62867888
os_version,7.1.2,2017-07-31 04:00:21,2017-07-31 04:00:21,16247725,9033d7d9fc68cda89dedb37e62867888
play_services_status,0,2017-07-31 04:00:21,2017-07-31 04:00:21,16247727,9033d7d9fc68cda89dedb37e62867888
sdk,25,2017-07-31 04:00:21,2017-07-31 04:00:21,16247726,9033d7d9fc68cda89dedb37e62867888
to_watch_widgets,0,2017-07-31 04:00:21,2017-07-31 04:00:21,16247730,9033d7d9fc68cda89dedb37e62867888
agenda_widgets,1,2019-12-15 04:03:18,2019-12-31 02:39:01,120049790,91526b43e075e68a1f8e945178f49e14
build_brand,xiaomi,2019-12-15 04:03:18,2019-12-15 04:03:18,120049783,91526b43e075e68a1f8e945178f49e14
build_manufacturer,Xiaomi,2019-12-15 04:03:18,2019-12-15 04:03:18,120049782,91526b43e075e68a1f8e945178f49e14
build_model,Redmi Note 5,2019-12-15 04:03:18,2019-12-15 04:03:18,120049784,91526b43e075e68a1f8e945178f49e14
launcher,ginlemon.flowerfree,2019-12-15 04:03:18,2020-01-04 19:00:24,120049789,91526b43e075e68a1f8e945178f49e14
model,Redmi Note 5,2019-12-15 04:03:18,2019-12-15 04:03:18,120049781,91526b43e075e68a1f8e945178f49e14
os,android,2019-12-15 04:03:18,2019-12-15 04:03:18,120049785,91526b43e075e68a1f8e945178f49e14
os_version,9.0,2019-12-15 04:03:18,2019-12-15 04:03:18,120049786,91526b43e075e68a1f8e945178f49e14
play_services_status,0,2019-12-15 04:03:18,2019-12-15 04:03:18,120049788,91526b43e075e68a1f8e945178f49e14
sdk,28,2019-12-15 04:03:18,2019-12-15 04:03:18,120049787,91526b43e075e68a1f8e945178f49e14
to_watch_widgets,2,2019-12-15 04:03:18,2020-01-04 20:25:02,120049791,91526b43e075e68a1f8e945178f49e14
agenda_widgets,0,2018-10-31 03:41:15,2018-10-31 03:41:15,73640741,9a7a651a7e384d7eaadd77b028d5039f
build_brand,xiaomi,2018-10-31 03:41:15,2018-10-31 03:41:15,73640734,9a7a651a7e384d7eaadd77b028d5039f
build_manufacturer,Xiaomi,2018-10-31 03:41:15,2018-10-31 03:41:15,73640733,9a7a651a7e384d7eaadd77b028d5039f
build_model,Mi A1,2018-10-31 03:41:15,2018-11-16 02:05:33,73640735,9a7a651a7e384d7eaadd77b028d5039f
launcher,com.android.launcher3,2018-10-31 03:41:15,2018-11-16 02:05:33,73640740,9a7a651a7e384d7eaadd77b028d5039f
model,Mi A1,2018-10-31 03:41:15,2018-11-16 02:05:33,73640732,9a7a651a7e384d7eaadd77b028d5039f
os,android,2018-10-31 03:41:15,2018-10-31 03:41:15,73640736,9a7a651a7e384d7eaadd77b028d5039f
os_version,8.1.0,2018-10-31 03:41:15,2018-10-31 03:41:15,73640737,9a7a651a7e384d7eaadd77b028d5039f
play_services_status,0,2018-10-31 03:41:15,2018-10-31 03:41:15,73640739,9a7a651a7e384d7eaadd77b028d5039f
sdk,27,2018-10-31 03:41:15,2018-10-31 03:41:15,73640738,9a7a651a7e384d7eaadd77b028d5039f
to_watch_widgets,0,2018-10-31 03:41:15,2018-10-31 03:41:15,73640742,9a7a651a7e384d7eaadd77b028d5039f
agenda_widgets,0,2018-10-26 02:25:39,2018-10-26 02:25:39,72997313,9acf455b3ddd36df9ac520c993111dfa
build_brand,Xiaomi,2018-10-26 02:25:39,2018-10-26 02:25:39,72997306,9acf455b3ddd36df9ac520c993111dfa
build_manufacturer,Xiaomi,2018-10-26 02:25:39,2018-10-26 02:25:39,72997305,9acf455b3ddd36df9ac520c993111dfa
build_model,Mi A1,2018-10-26 02:25:39,2018-10-26 02:25:39,72997307,9acf455b3ddd36df9ac520c993111dfa
launcher,com.google.android.apps.nexuslauncher,2018-10-26 02:25:39,2018-10-26 02:25:39,72997312,9acf455b3ddd36df9ac520c993111dfa
