updated_at,series_id,user_id,type,series_name,watch_count,created_at,uuid,type-uuid-n,watches,rewatch_count,follow_date_range_key,entity_type,movie_name,release_date_range_key,release_date,alpha_range_key,runtime,season_number,series_uuid,episode_id,watch_date,episode_number,watched_episode_range_key,total_series_runtime,total_movies_runtime,watch_date_range_key,unitarian,country
2024-02-26 00:34:57,,13991889,follow,,,2024-02-26 00:34:57,bc1542c4-e72f-4dd4-bb80-2d89bd6c6199,follow-bc1542c4-e72f-4dd4-bb80-2d89bd6c6199-0,,,follow-follow-date-1708907697,movie,Interstellar,follow-release-date-2014-11-06,2014-11-06 00:00:00,follow-alpha-interstellar,10140,,,,,,,,,,,
2019-08-10 05:52:56,,13991889,follow,,,2019-08-10 05:52:56,bc180014-4bd3-40a1-bd0f-01fb8fa79dc0,follow-bc180014-4bd3-40a1-bd0f-01fb8fa79dc0-0,,0,follow-follow-date-1565416376,movie,Transformers,,,,,,,,,,,,,,,
2022-10-30 20:41:44,,13991889,follow,,,2022-10-30 20:41:44,bc1dc13c-e9c7-4055-bfc9-4d59e3dcb084,follow-bc1dc13c-e9c7-4055-bfc9-4d59e3dcb084-0,,,follow-follow-date-1667162504,movie,JoJo's Bizarre Adventure: Phantom Blood,follow-release-date-2007-02-17,2007-02-17 00:00:00,follow-alpha-jojo's-bizarre-adventure-phantom-blood,7200,,,,,,,,,,,
2019-08-10 05:44:12,,13991889,follow,,,2019-08-10 05:44:12,bc5eb84f-6e5d-45b0-97c1-96bf401dd59f,follow-bc5eb84f-6e5d-45b0-97c1-96bf401dd59f-0,,0,follow-follow-date-1565415852,movie,Avatar,,,,,,,,,,,,,,,
2019-08-10 05:56:04,,13991889,follow,,,2019-08-10 05:56:04,bca9c67a-e91c-4df2-a624-1430bedea455,follow-bca9c67a-e91c-4df2-a624-1430bedea455-0,,0,follow-follow-date-1565416564,movie,Ted,,,,,,,,,,,,,,,
2019-08-10 05:52:49,,13991889,follow,,,2019-08-10 05:52:49,bd2e6693-3d05-44eb-b8a8-68ff96b636cd,follow-bd2e6693-3d05-44eb-b8a8-68ff96b636cd-0,,0,follow-follow-date-1565416369,movie,Batman Begins,,,,,,,,,,,,,,,
2021-01-03 21:41:06,,13991889,follow,,,2021-01-03 21:41:06,bd548c50-5dc6-4b55-9344-9756942263f5,follow-bd548c50-5dc6-4b55-9344-9756942263f5-0,,,follow-follow-date-1609710066,movie,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe To American Regime For Make Benefit Once Glorious Nation of Kazakhstan,follow-release-date-2020-10-23,2020-10-23 00:00:00,follow-alpha-borat-subsequent-moviefilm-delivery-of-prodigious-bribe-to-american-regime-for-make-benefit-once-glorious-nation-of-kazakhstan,,,,,,,,,,,,
2023-07-21 03:04:53,,13991889,follow,,,2023-07-21 03:04:53,bdb1ca3e-5529-4045-b8fd-f9671e3402f5,follow-bdb1ca3e-5529-4045-b8fd-f9671e3402f5-0,,,follow-follow-date-1689908693,movie,Vampires Suck,follow-release-date-2010-08-18,2010-08-18 00:00:00,follow-alpha-vampires-suck,4920,,,,,,,,,,,
2022-05-21 01:39:04,,13991889,follow,,,2022-05-21 01:39:04,bde54601-30ed-4b18-9ca6-072a7e42ca86,follow-bde54601-30ed-4b18-9ca6-072a7e42ca86-0,,,follow-follow-date-1653097144,movie,La familia perfecta,follow-release-date-2022-05-11,2022-05-11 00:00:00,follow-alpha-the-perfect-family,6600,,,,,,,,,,,
2019-08-10 05:48:42,,13991889,follow,,,2019-08-10 05:48:42,be4921f9-aab7-433a-8c48-c6fc701d7a56,follow-be4921f9-aab7-433a-8c48-c6fc701d7a56-0,,0,follow-follow-date-1565416122,movie,22 Jump Street,,,,,,,,,,,,,,,
